"Step","pious-hill-96 - train/loss","pious-hill-96 - train/loss__MIN","pious-hill-96 - train/loss__MAX","atomic-plasma-92 - train/loss","atomic-plasma-92 - train/loss__MIN","atomic-plasma-92 - train/loss__MAX","swept-serenity-90 - train/loss","swept-serenity-90 - train/loss__MIN","swept-serenity-90 - train/loss__MAX"
"85","1.5096","1.5096","1.5096","1.393","1.393","1.393","1.3838","1.3838","1.3838"
"86","1.6363","1.6363","1.6363","1.4896","1.4896","1.4896","1.4185","1.4185","1.4185"
"87","1.7238","1.7238","1.7238","1.5979","1.5979","1.5979","1.4772","1.4772","1.4772"
"88","1.7118","1.7118","1.7118","1.5756","1.5756","1.5756","1.5063","1.5063","1.5063"
"89","1.6401","1.6401","1.6401","1.5256","1.5256","1.5256","1.4571","1.4571","1.4571"
"90","","","","","","","1.737","1.737","1.737"
"91","","","","","","","1.5387","1.5387","1.5387"
"92","","","","","","","1.6299","1.6299","1.6299"
"93","","","","","","","1.6406","1.6406","1.6406"
"94","","","","","","","1.4939","1.4939","1.4939"
"95","","","","","","","1.5608","1.5608","1.5608"
"96","","","","","","","1.571","1.571","1.571"
"97","","","","","","","1.4832","1.4832","1.4832"
"98","","","","","","","1.3576","1.3576","1.3576"
"99","","","","","","","1.4564","1.4564","1.4564"
"100","","","","","","","1.5953","1.5953","1.5953"
"101","","","","","","","1.5413","1.5413","1.5413"
"102","","","","","","","1.5143","1.5143","1.5143"
"103","","","","","","","1.568","1.568","1.568"
"104","","","","","","","1.4342","1.4342","1.4342"
"105","","","","","","","1.402","1.402","1.402"
"106","","","","","","","1.42","1.42","1.42"
"107","","","","","","","1.6695","1.6695","1.6695"
"108","","","","","","","1.4072","1.4072","1.4072"
"109","","","","","","","1.6805","1.6805","1.6805"
"110","","","","","","","1.4991","1.4991","1.4991"
"111","","","","","","","1.5561","1.5561","1.5561"
"112","","","","","","","1.5044","1.5044","1.5044"
"113","","","","","","","1.3568","1.3568","1.3568"
"114","","","","","","","1.5536","1.5536","1.5536"
"115","","","","","","","1.4938","1.4938","1.4938"
"116","","","","","","","1.6097","1.6097","1.6097"
"117","","","","","","","1.6151","1.6151","1.6151"
"118","","","","","","","1.5835","1.5835","1.5835"
"119","","","","","","","1.5366","1.5366","1.5366"
"120","","","","","","","1.3786","1.3786","1.3786"
"121","","","","","","","1.6383","1.6383","1.6383"
"122","","","","","","","1.5788","1.5788","1.5788"
"123","","","","","","","1.402","1.402","1.402"
"124","","","","","","","1.5012","1.5012","1.5012"
"125","","","","","","","1.4606","1.4606","1.4606"
